game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Adoree' Jackson,JackAd00,0,5,3,0.6,38,12.7,7.6,0,83.7,8.2,20,18,1,0,0,0,0,5,1,0.167
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Jayon Brown,BrowJa06,0,7,2,0.286,18,9,2.6,0,39.6,8.4,10,8,3,0,0,0,0,2,1,0.333
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Kevin Byard,ByarKe01,1,5,2,0.4,13,6.5,2.6,1,47.9,11,13,0,0,0,0,0,0,2,0,0
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Cameron Wake,WakeCa00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2.5,4,3,0,0
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Sharif Finch,FincSh00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,2,5,0,0
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Jurrell Casey,CaseJu00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,0.5
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,DaQuan Jones,JoneDa04,0,1,0,0,NA,NA,0,NA,39.6,7,NA,NA,0,1,0,0,1,3,0,0
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Harold Landry,LandHa00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,2,1,0.333
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Wesley Woodyard,WoodWe20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,0,0
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Isaiah Mack,MackIs00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0.5
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Jalen Ramsey,RamsJa00,0,8,5,0.625,35,7,4.4,1,112,6,33,2,0,0,0,0,0,5,0,0
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,A.J. Bouye,BouyA.00,0,7,4,0.571,79,19.8,11.3,0,96.7,11.1,34,45,0,0,0,0,0,3,0,0
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Najee Goode,GoodNa00,0,4,3,0.75,35,11.7,8.8,0,101,0.8,3,32,0,0,0,0,0,3,1,0.25
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Quincy Williams,WillQu01,0,3,3,1,16,5.3,5.3,0,88.9,-0.3,-1,17,0,0,0,0,0,4,2,0.333
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,D.J. Alexander,AlexD.00,0,2,2,1,2,1,1,0,79.2,-2.5,-5,7,0,0,0,0,0,1,0,0
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Myles Jack,JackMy00,0,2,2,1,90,45,45,1,158.3,20.5,41,49,0,0,0,0,0,2,0,0
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,D.J. Hayden,HaydDJ00,0,2,2,1,18,9,9,0,104.2,-3,-6,24,2,0,0,0,0,4,1,0.2
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Josh Allen,AlleJo03,0,1,1,1,9,9,9,0,104.2,-2,-2,11,0,1,1,0,2,2,1,0.333
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Ronnie Harrison,HarrRo02,0,2,1,0.5,68,68,34,1,135.4,8,7,61,1,0,0,0,0,5,1,0.167
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Jarrod Wilson,WilsJa00,0,1,1,1,21,21,21,0,118.7,17,17,4,0,0,0,0,0,5,0,0
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Yannick Ngakoue,NgakYa00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,3,0,0
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Calais Campbell,CampCa99,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,3,0,0
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Taven Bryan,BryaTa00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,NA
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Leon Jacobs,JacoLe00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
2019_01_KC_JAX,201909080jax,2019,1,REG,JAX,KC,Dontavius Russell,RussDo00,0,1,0,0,5,NA,5,0,47.9,-5,-5,10,0,0,0,0,0,1,1,0.5
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Eric Rowe,RoweEr00,0,6,6,1,82,13.7,13.7,2,158.3,3.8,23,59,0,0,0,0,0,11,2,0.154
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Minkah Fitzpatrick,FitzMi00,0,6,6,1,117,19.5,19.5,3,158.3,9.3,56,61,0,0,0,0,0,5,1,0.167
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Walt Aikens,AikeWa00,0,4,4,1,53,13.3,13.3,0,118.7,8.5,34,19,0,0,0,0,0,6,0,0
