game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat
2021_04_ARI_LA,202110030ram,2021,4,REG,LA,ARI,DeSean Jackson,JackDe00,0,0,0,1,2.8
2021_04_ARI_LA,202110030ram,2021,4,REG,LA,ARI,Johnny Mundt,MundJo00,0,0,0,0,104.2
2021_04_ARI_LA,202110030ram,2021,4,REG,ARI,LA,A.J. Green,GreeA.00,0,0,0,0,152.8
2021_04_ARI_LA,202110030ram,2021,4,REG,ARI,LA,Maxx Williams,WillMa04,0,0,0,0,158.3
2021_04_ARI_LA,202110030ram,2021,4,REG,ARI,LA,Chase Edmonds,EdmoCh00,0,1,0.2,0,82.5
2021_04_ARI_LA,202110030ram,2021,4,REG,ARI,LA,DeAndre Hopkins,HopkDe00,0,0,0,0,89.6
2021_04_ARI_LA,202110030ram,2021,4,REG,ARI,LA,Rondale Moore,MoorRo02,0,0,0,0,105.6
2021_04_ARI_LA,202110030ram,2021,4,REG,ARI,LA,James Conner,ConnJa00,0,0,0,0,100
2021_04_ARI_LA,202110030ram,2021,4,REG,ARI,LA,Christian Kirk,KirkCh01,0,0,0,0,87.5
2021_04_SEA_SF,202110030sfo,2021,4,REG,SF,SEA,Deebo Samuel,SamuDe00,2,0,0,0,142.9
2021_04_SEA_SF,202110030sfo,2021,4,REG,SF,SEA,Kyle Juszczyk,JuszKy00,0,0,0,0,109.4
2021_04_SEA_SF,202110030sfo,2021,4,REG,SF,SEA,George Kittle,KittGe00,1,0,0,1,12.5
2021_04_SEA_SF,202110030sfo,2021,4,REG,SF,SEA,Mohamed Sanu,SanuMo00,0,0,0,0,95.8
2021_04_SEA_SF,202110030sfo,2021,4,REG,SF,SEA,Brandon Aiyuk,AiyuBr00,0,1,0.333,0,50.7
2021_04_SEA_SF,202110030sfo,2021,4,REG,SF,SEA,Ross Dwelley,DwelRo00,0,0,0,0,158.3
2021_04_SEA_SF,202110030sfo,2021,4,REG,SF,SEA,Jauan Jennings,JennJa00,0,0,0,0,118.7
2021_04_SEA_SF,202110030sfo,2021,4,REG,SF,SEA,Trent Sherfield,SherTr00,0,0,0,0,39.6
2021_04_SEA_SF,202110030sfo,2021,4,REG,SEA,SF,Tyler Lockett,LockTy00,0,0,0,0,86.7
2021_04_SEA_SF,202110030sfo,2021,4,REG,SEA,SF,D.K. Metcalf,MetcDK00,1,1,0.125,0,117.2
2021_04_SEA_SF,202110030sfo,2021,4,REG,SEA,SF,Freddie Swain,SwaiFr00,0,0,0,0,125
2021_04_SEA_SF,202110030sfo,2021,4,REG,SEA,SF,Alex Collins,CollAl00,0,0,0,0,118.7
2021_04_SEA_SF,202110030sfo,2021,4,REG,SEA,SF,Will Dissly,DissWi00,0,0,0,0,79.2
2021_04_SEA_SF,202110030sfo,2021,4,REG,SEA,SF,Chris Carson,CarsCh00,0,0,0,0,79.2
